기사 제목,내용,링크
“내 일상은 AI 학습용 자료가 아니다” 메타·엑스의 이용자 개인정보 무단 활용에 시민사회 ‘반발’,"“내 일상은 인공지능(AI) 학습용이 아니다.” 메타, 엑스 등 소셜미디어가 AI 학습에 이용자 개인정보를 무단 활용하고 있다며 시민사회가 반발하고 나섰다. 디지털시민권리사업단은 16일 온라인 기자간담회를 열어 “메",https://n.news.naver.com/mnews/article/032/0003363826
"시민단체 ""AI 개발 명분으로 개인정보 침해 받아들이지 말아야""",내 일상은 인공지능(AI) 학습용이 아니다 국내 시민단체가 해외 주요 사회관계망서비스(SNS) 운영사들이 이용자 개인 정보를 AI 학습 데이터로 무단 사용했다고 비판하고 나섰다. 이들은 페이스북·인스타그램 등을 운영,https://n.news.naver.com/mnews/article/469/0000859946
"쿠팡, 고령군 농가 500곳 손잡고 딸기·수박 매입","쿠팡이 경상북도 고령군과 손잡고 지역 농·특산물의 온라인 판로 확대 및 신규 매입 확대를 위한 업무협약(MOU)을 체결했다고 16일 밝혔다. 이번 협약을 통해 쿠팡은 고령군의 500여 개 농가와 협력해 딸기, 수박,",https://n.news.naver.com/mnews/article/092/0002370937
"KT, '미디어 뉴웨이' 전략 발표…AI로 IPTV·콘텐츠 제작 혁신","지니 TV에 LLM 기반 AI 에이전트 도입 FAST·숏폼 등 신사업으로 수익 다변화 시동 KT가 16일 서울 강남구 안다즈 서울 강남 호텔에서 기자간담회 'KT그룹 미디어토크'를 개최, 'KT 미디어 뉴웨이' 전략",https://n.news.naver.com/mnews/article/629/0000382624
"위버스마인드, 더위크 중국어’ 출시","뇌새김을 운영하는 AI 에듀테크 기업 위버스마인드(대표 정성은)가 ‘더위크 중국어’를 출시한다고 16일 밝혔다. ‘더위크 중국어’는 성조와 발음부터 일상 및 비즈니스 실무에 적합한 중급 회화, HSK 대비까지 가능한",https://n.news.naver.com/mnews/article/092/0002370936
"삼성 간신히 1위, 애플 맹추격…‘관세폭탄’ 직전 스마트폰 성적",전세계 스마트폰 시장에서 삼성전자가 근소한 격차로 1위를 차지했다. 애플은 지속적인 성장세에 따라 1위를 맹추격하고 있다. 16일 시장조사업체 카운터포인트리서치 마켓 모니터 서비스의 잠정 집계에 따르면 올 1분기 전,https://n.news.naver.com/mnews/article/138/0002194801
"아이온큐 ""美 군사위성·드론 통신에 韓 기술 적용""","'양자컴퓨터 대표 기업' 피터 채프먼 회장 단독 인터뷰 韓 인텔리안테크와 손잡고 실제 전투 현장에서 쓰는 양자 기반 네트워크 구축 ""챗GPT 등장 후 AI 폭발처럼 제조·의료 등 상용화 잇따라 양자컴도 확산 모멘트 ",https://n.news.naver.com/mnews/article/009/0005477650
"대전시, '2025 대한민국 과학기술축제' 오늘 개막",대전시와 과학기술정보통신부는 오늘(16일)부터 20일까지 '2025 대한민국 과학기술 축제'를 대전 엑스포 시민광장 등에서 개최한다고 밝혔습니다. 올해 축제는 대전시의 사이언스페스티벌과 과기부의 과학축제 등을 통합한,https://n.news.naver.com/mnews/article/422/0000731770
[단독] “직원들 모두에 비서 준다”…시간 효율 높이려 LG가 택한 방법은,직원용 비서 ‘엘지니’ 한층 강화 조주완 CEO “직원 시간 돌려주겠다” 연내 ‘개인비서’ 기능도 추가 예정 회의 녹음만 하면 자동 정리·발송 월평균 35만건 AI 답변 처리 중 LG전자가 사내 챗봇 서비스인 ‘엘지,https://n.news.naver.com/mnews/article/009/0005477644
"[현장]티빙·웨이브 합병에 ""주주 가치에 맞나"" 직격탄 던진 KT 미디어부문장",국내 대표 온라인동영상서비스(OTT)로 꼽히는 티빙과 웨이브의 합병에 공개 입장을 밝히지 않던 KT가 불편한 속내를 드러냈다. KT가 티빙의 주요 주주이기는 하지만 티빙의 모회사 CJ ENM과 웨이브를 보유한 SK스,https://n.news.naver.com/mnews/article/469/0000859935
"[집중인터뷰] 대전서 국내 최대 과학축제 개최, 즐길 거리는?",[앵커] 앞서 보신 것처럼 국내 최대 규모의 과학축제가 대전에서 개막했는데요. 이와 관련해 축제를 주관하고 있는 한국연구재단 홍원화 이사장과 더 자세한 이야기 나눠봅니다. 어서오세요. 작년에 이어 올해도 '대한민국 ,https://n.news.naver.com/mnews/article/056/0011933212
"신세계라이브쇼핑 임직원, 서울숲 ‘생생 정원’에서 봉사활동 펼쳐","신세계라이브쇼핑(대표 이석구)은 봄을 맞아 지난 15일 서울숲에 위치한 ‘생생 정원’에서 봉사활동을 진행했다고 16일 밝혔다. ‘생생 정원’은 작년 말 신세계라이브쇼핑과 서울시 동부공원여가센터, 서울그린트러스트의 상",https://n.news.naver.com/mnews/article/092/0002370930
"“티켓도 비싼데” 예쁜 쓰레기까지 사야 ‘진짜 팬’?…모두 거부한 월드스타 [지구, 뭐래?]",한 콘서트장에서 관객이 응원봉을 들고 있다.[X(구 트위터) 갈무리] “콘서트 티켓만 사면 되는 거 아니었어?” 콘서트장을 물들이고 있는 형형색색의 불빛. 관객 모두가 하나씩 들고 있는 ‘응원봉’은 웃돈을 주고서라도,https://n.news.naver.com/mnews/article/016/0002458432
대전은 지금 ‘호기심 천국’…3대 과학행사 통합 개최,[앵커] 과학의 달을 맞아 우리나라의 대표적인 과학축제 3개가 대전에서 통합해 열립니다. 올해 주제는 '호기심'이라고 하는데요. 과학기술 연구 성과를 친숙하게 즐길 수 있는 다양한 체험이 기다리고 있습니다. 양민오 ,https://n.news.naver.com/mnews/article/056/0011933190
"몰테일 해외 풀필먼트 서비스, 네이버 커머스솔루션마켓에 입점","커넥트웨이브의 해외법인 몰테일은 해외 상품 판매 셀러의 물류관리를 현지에서 원스톱으로 지원하는 ‘해외 풀필먼트’ 서비스가 네이버 커머스솔루션마켓에 공식 입점했다고 16일 밝혔다. 몰테일의 해외 풀필먼트는 쿠팡, G마",https://n.news.naver.com/mnews/article/092/0002370929
"11번가, 선물 특가 판매 '해피 패밀리데이' 진행","11번가는 16일부터 ‘해피 패밀리데이' 기획전을 시작하며 본격적인 ‘가정의 달’ 마케팅에 나선다고 이날 밝혔다. 고물가 속 어린이날, 어버이날 선물을 합리적으로 장만할 수 있도록, 오는 5월 6일까지 브랜드별 제품",https://n.news.naver.com/mnews/article/092/0002370927
"“동의 없이 인스타 사진으로 AI 학습”…메타·X, ‘개인정보 침해’ 신고",메타와 엑스(X·옛 트위터)가 에스엔에스(SNS) 이용자 개인정보를 인공지능(AI) 모델 개발에 무단으로 활용하고 있다는 의혹에 대해 시민단체가 정부의 조사를 촉구했다. 진보네트워크센터·정보인권연구소는 16일 “메타,https://n.news.naver.com/mnews/article/028/0002741307
"정보세계정치학회, `플랫폼 국가론` 주제로 제1차 글로벌 디지털 포럼 17일 개최","정보세계정치학회(KAWPI)는 강훈식 의원실과 함께 오는 17일 대한상공회의소에서 '트럼프 2기 출범 100일, '플랫폼 국가론'으로 본 정부-기업 관계의 전환과 한국' 주제로 학회 특별세미나인 제1차 글로벌 디지털",https://n.news.naver.com/mnews/article/029/0002948672
"KT, '지니TV'에 GPT-4o 기반 '한국형 AI에이전트' 심는다",KT가 마이크로소프트(MS)와 함께 오픈AI의 대규모언어모델(LLM) GPT-4o 기반으로 제작하는 AI 에이전트를 IPTV 플랫폼 '지니TV'에 도입한다. KT는 이를 시작으로 미디어 사업 전반에 걸쳐 AI 전환(,https://n.news.naver.com/mnews/article/293/0000066212
"[fn 이사람] ""업무 흐름 끊는 검색시간… AI로 확 줄일 것""","""'인공지능(AI)을 활용한 전 세계 사무직 노동자의 삶 혁신'이 최종 목표다. 이를 위해 기업의 방대한 데이터를 효과적으로 관리하고, 필요한 정보를 적시에 제공하는 AI 솔루션 개발에 박차를 가하고 있다."" 16일",https://n.news.naver.com/mnews/article/014/0005337051
"2025 대한민국 과학기술축제 개막…""역대 최대 규모""","'2025 대한민국 과학기술축제'(과학기술축제)가 개막했다. 올해 주제는 '과학기술의 엔진, 호기심을 깨우다'로 다양한 과학기술로 호기심을 자극하는 약 850여개의 프로그램이 준비됐다. 과학기술정보통신부는 2025 ",https://n.news.naver.com/mnews/article/421/0008197453
韓 과학기술축제 역대 최대 규모로 개최…3개 대형 행사 합쳤다,올해 대한민국 과학기술축제가 역대 최대 규모로 진행된다. 기존에 제각각 개최했던 3개의 대형 과학기술행사가 하나로 통합된다. 온 가족이 즐길 수 있는 다양한 과학기술문화 프로그램부터 우리나라의 연구개발(R,https://n.news.naver.com/mnews/article/003/0013188313
역대 최대 규모 '2025 대한민국 과학기술축제' 열렸다,"역대 최대 규모 과학기술축제 '2025 대한민국 과학기술축제'가 20일까지 대전 도심 일대에서 열린다. 과학기술정보통신부(이하 과기정통부), 대전광역시가 주최하고 한국과학창의재단, 한국연구재단, 대전관광공사, 과학문",https://n.news.naver.com/mnews/article/008/0005181616
역대 최대 규모 '대한민국 과학기술축제' 개막,"대한민국과학축제와 대한민국과학기술대전, 대전사이언스페스티벌 등 3개 행사를 통합한 역대 최대 규모의 과학기술축제인 '대한민국 과학기술축제'가 성대하게 개막했다. 과학기술정보통신부와 대전광역시가 주최하고 한국과학창의재",https://n.news.naver.com/mnews/article/277/0005579159
토스서 KT알파 '기프티쇼' 모바일 상품권 구매 가능,KT알파(대표 박승표)가 운영하는 모바일 상품권 서비스 기프티쇼가 모바일 금융 서비스 토스(운영사 비바리퍼블리카)에 모바일 상품권을 공급한다고 16일 밝혔다. 토스를 이용하는 고객이라면 토스의 브랜드콘 서비스를 통해,https://n.news.naver.com/mnews/article/092/0002370925
"제조업 전반에 AI 이식...삼성SDS, ‘인더스트리 데이’서 디지털 혁신 사례 공유",삼성SDS는 16일 서울 잠실 스카이31 컨벤션에서 제조 기업을 대상으로 ‘제조의 미래를 준비하는 삼성SDS Industry Day’ 세미나를 개최했다고 밝혔다. 이번 세미나는 삼성SDS만의 차별화된 생성형 인공지능,https://n.news.naver.com/mnews/article/009/0005477623
티빙·웨이브 합병 수순에 입 연 KT...“주주가치 부합하는지 의문”,KT가 최근 토종 OTT 플랫폼 티빙과 웨이브의 합병 움직임과 관련해 주주 가치에 부합하지 않다는 공식 입장을 16일 밝혔다. 현재 웨이브의 1대 주주인 SK스퀘어와 티빙의 최대 주주인 CJ ENM은 웨이브에 총 2,https://n.news.naver.com/mnews/article/009/0005477622
“美 관세 전쟁에 전세계 스마트폰 시장 역성장 우려”,카운터포인트리서치 조사 출하량 기준 삼성 1위 탈환 애플은 매출 역대 최대치 미국 도널드 트럼프 정부에서 시작한 관세 전쟁으로 시장 불확실성이 커지고 있는 가운데 올해 전 세계 스마트폰 시장이 ‘마이너스 성장률’을 ,https://n.news.naver.com/mnews/article/009/0005477620
"멀어지는 AI G3… ""AI 투자·생태계 활성화 대책 시급""",AI 인덱스 2025 보고서 분석 지난해 민간투자 1위 '미국' 1090억달러로 중국에 11.7배 韓 13.3억달러… 11위 머물러 글로벌 인공지능(AI) 경쟁이 날로 심화되면서 경제와 산업의 규모에서 비롯되는 격차,https://n.news.naver.com/mnews/article/029/0002948654
"갤럭시 신화 이끈 노태문 ""신사업·판매단 운영 집중""","삼성전자 디바이스경험(DX)부문장 직무대행을 맡은 노태문 모바일경험(MX)사업부장(사진)은 16일 MX사업부 구성원들에게 미래 신사업 발굴, 판매단 운영 등에 집중하겠다고 밝혔다. 노 직무대행은 이날 MX사업부 임직",https://n.news.naver.com/mnews/article/014/0005337007
원하는 영화 말하면 찾아준다… 지니TV에 대화형 AI 적용,KT가 미디어 인공지능(AI) 에이전트를 지니 TV에 탑재한다. 미디어 콘텐츠 인공지능 전환(AX) 전문 조직도 신설해 기획·제작·유통 등 콘텐츠 밸류체인 전 과정에 AI를 적용한다. 광고 기반 무료 스트리밍 채널(,https://n.news.naver.com/mnews/article/014/0005337006
"SK C&C, NH농협 슈퍼앱 구축… 고객중심 디지털 금융 완성",SK C&C가 농협중앙회와 NH농협은행이 공동 추진한 'NH농협 디지털금융 플랫폼 전환 구축 사업'을 성공적으로 완료했다고 16일 밝혔다. 이번 사업을 통해 농협중앙회 'NH콕뱅크'와 NH농협은행 'NH올원뱅크'가 ,https://n.news.naver.com/mnews/article/014/0005337003
“이러면 제주도 안 간다” ‘10만원’ 짜리 갈치구이 난리더니…역대급 대박났다?,“제주 관광이 비싸다는 이유가 뭔지 분석해 보니 갈치구이가 대표 사례로 지적되고 있다.” (오영훈 제주도지사 발언 중) 제주도를 포함한 국내 대표 여행지 내 바가지요금 등 불신이 커지면서 해외여행 수요가 적잖이 늘고,https://n.news.naver.com/mnews/article/016/0002458416
가상자산 투자지표 '업비트 데이터 랩' 개편,두나무가 운영하는 '업비트 디지털 자산 지수(UBCI)'가 투자자 중심의 통합 데이터 플랫폼인 '업비트 데이터 랩'으로 개편됐다. 업비트 데이터 랩은 섹터별 시가총액과 가상자산 등락률 등 시장 흐름을 직관적으로 파악,https://n.news.naver.com/mnews/article/014/0005336997
"""우리 강아지가 사람이라면 어떻게 생겼을까?""…챗GPT 이번 유행은 '이것'",지브리·디즈니 화풍으로 생성한 이미지에 이어 반려동물을 사람처럼 바꾸는 '동물의 인간화'가 새로운 챗GPT 유행으로 떠오르고 있다. 15일(현지 시간) 뉴욕포스트는 최근 챗GPT를 활용해 자신의 반려동물을 사람처럼 ,https://n.news.naver.com/mnews/article/011/0004474936
"인덴트, 브이리뷰 AI 접근성 강화…제품 가격 및 구독 정책 개편",커머스 인공지능 전환(AX) 전문 기업 인덴트코퍼레이션이 AI 리뷰 수집 솔루션 '브이리뷰'의 구독 정책과 서비스 제공 범위를 전면 개편한다고 16일 밝혔다. 이번 개편은 AI 기술 발전에 따른 원가 절감 효과를 나,https://n.news.naver.com/mnews/article/029/0002948647
"미코 밸리마키 ""韓, 양자컴 인프라 갖춰…생태계 구축 나설 때""","“양자컴퓨터는 미래 기술이 아닙니다. 지금 이 순간에도 실제 환경에서 가동되고 있습니다.” 핀란드 양자컴퓨터 기업 IQM의 미코 밸리마키 공동 최고경영자(CEO·사진)는 16일 “양자컴퓨터는 신약 개발 시뮬레이션, ",https://n.news.naver.com/mnews/article/015/0005120197
"""턱시도 고양이 사람으로 바꿔줘""…지브리 이은 챗GPT 유행","내 반려동물이 사람이라면 어떤 모습일까? 반려동물을 키우는 사람이라면, 이런 상상을 한 번쯤 해보았을 텐데요. 최근 반려동물을 사람처럼 바꾸는 챗 GPT 이미지 생성이 유행하고 있습니다. 현지시간 14일 뉴욕포스트는",https://n.news.naver.com/mnews/article/422/0000731733
관세전쟁에 반도체 장비 '빅3'도 타격…'수퍼 을' ASML도 실적 악화,도널드 트럼프 미국 행정부의 관세 정책으로 반도체 장비 제조업체들이 연간 10억달러(약 1조4천300억원) 이상의 비용 부담을 추가로 떠안게 될 것으로 추산된다. 15일(현지시간) 로이터통신에 따르면 미국 3대 반도,https://n.news.naver.com/mnews/article/088/0000942444
'예외는 없다' 엔비디아도 못 피한 관세 폭탄…'K-반도체'도 된서리,"'자국 우선주의'를 내세운 도널드 트럼프 미국 행정부의 급진적인 관세 정책이 인공지능(AI) 반도체 시장에 찬 물을 끼얹었다. 15일(현지시간) 로이터 통신, 미 일간 뉴욕타임스(NYT) 등에 따르면 미 상무부는 엔",https://n.news.naver.com/mnews/article/088/0000942443
"LG엔솔, 일본·유럽 기업과 ESS 공급 논의","LG에너지솔루션이 일본, 유럽 기업 다수와 에너지저장장치(ESS) 배터리 공급을 논의 중이라고 밝혔다. 16일 LG에너지솔루션은 일본 전자 기업 오므론에 리튬인산철(LFP) ESS 배터리를 공급한다는 언론 보도 관련",https://n.news.naver.com/mnews/article/092/0002370922
"[게시판] KCA-한국로봇산업진흥원, 로봇 산업 활성화 협약",▲ 한국방송통신전파진흥원(KCA)은 한국로봇산업진흥원(KIRIA)과 로봇 서비스 확산과 산업 활성화를 위한 업무협약(MOU)을 맺었다고 16일 밝혔다. 두 기관은 로봇 산업에 정보통신기술(ICT) 적용을 확대해 경쟁,https://n.news.naver.com/mnews/article/001/0015334806
"""AI 기업, 데이터 생산자에 경제적 보상 해야""","김성훈 업스테이지 대표 최근 '지브리 프사(프로필 사진)' 열풍을 불러온 오픈AI의 챗GPT 이미지 생성 기능이 데이터 저작권을 침해한다는 비판이 이어지는 가운데, 해외 업체에 비해 국내 인공지능(AI) 기업이 데이",https://n.news.naver.com/mnews/article/009/0005477600
오픈AI도 SNS 개발 머스크 X와 정면승부,X(옛 트위터)를 소유한 일론 머스크와 사사건건 대립하고 있는 오픈AI가 이제는 X를 겨냥한 새로운 사회관계망서비스(SNS)를 내놓는다. 특히 전 세계적인 챗GPT 붐을 일으킨 지브리풍 이미지 제작 열풍에 맞춰 그림,https://n.news.naver.com/mnews/article/009/0005477598
"KT, 인터넷 TV에 AI 에이전트 탑재",'미디어 뉴웨이' 전략 발표 지니TV 플랫폼에 LLM 장착 인공지능이 콘텐츠 검색·추천 AI 기반 숏폼 제작 인프라 구축 마이크로소프트(MS)와 손잡은 KT가 자사 인터넷 TV(IPTV) 플랫폼 '지니 TV'에 인공,https://n.news.naver.com/mnews/article/009/0005477593
보이스피싱 원본 음성 데이터 왜 못 쓰나 했더니…'범죄자 개인정보'가 걸림돌,"""보이스피싱 범죄가 좀처럼 줄어들지 않고 있습니다. 이 범죄를 선제적으로 막기 위해선 원본 음성 데이터를 활용하는 것이 가장 효과적이지만, 문제는 범죄자의 음성 데이터 활용에 대한 동의를 받을 수 없다는 데 있습니다",https://n.news.naver.com/mnews/article/003/0013188269
"일본, '빅테크'에 첫 시정명령… ""AI 시대 경쟁 방해 요소 제거해야""",일본이 인공지능(AI) 시대에 대비하기 위해 미국 거대 정보기술(IT) 기업에 처음으로 시정 명령을 내렸다. 일본 검색 시장을 장악한 구글이 독점적 지위를 이용해 경쟁사를 배제하려 했다고 본 것이다. 일본 언론들은 ,https://n.news.naver.com/mnews/article/469/0000859903
AI가 노인 요양 관리…'돌봄테크 혁신' 속도 낸다 [스케일업 리포트],"우리나라 65세 이상 인구 비중은 지난해 12월 23일 기준 1024만 4550명으로, 전체 주민등록 인구의 20%를 차지하고 있다. 2050년에는 수치가 지금의 두 배에 해당하는 40%를 넘어설 것으로 전망되고 있",https://n.news.naver.com/mnews/article/011/0004474919
"""표 안에 글자까지 판독…업무 특화 AI로 日 문서시장 공략"" [스타트업 스트리트]",“예쁘게 정리된 문서 속 표까지 정확히 판독하는 도큐먼트(문서) 인공지능(AI) 업력을 쌓은 지 2년반 만에 처리 속도와 정확도 세계 1위를 달성했습니다. 국내를 넘어 전 세계의 AI 업무 표준을 만들고 아시아 전역,https://n.news.naver.com/mnews/article/011/0004474915
"KT, 미디어 사업 전략 발표","정근욱 KT스튜디오지니 대표(왼쪽 두 번째부터)와 신종수 KT 미디어전략본부장(상무), 김채희 미디어부문장(전무)이 16일 서울 강남구 안다즈 서울 강남 호텔에서 열린 'KT그룹 미디어토크' 기자간담회에서 미디어 사",https://n.news.naver.com/mnews/article/001/0015334796
발표하는 김채희 KT 미디어부문장 전무,김채희 KT 미디어부문장 전무가 16일 서울 강남구 안다즈 서울 강남 호텔에서 열린 'KT그룹 미디어토크' 기자간담회에서 미디어 사업 전략을 발표하고 있다. 2025.4.16 [KT 제공. 재판매 및 DB 금지],https://n.news.naver.com/mnews/article/001/0015334794
"김성훈 업스테이지 대표, “워크 인텔리전스로 일하는 방법, 새로운 방향 만들겠다”","“업스테이지는 도큐먼트 파스, 솔라 대형언어모델(이하 LLM)을 통해 누구나 쓰기 좋은 워크 인텔리전스를 만들겠다. 일하는 방법의 새로운 방향을 제시할 것이다. 동남아와 일본을 넘어, 미국으로 사업을 확장하고, 이를",https://n.news.naver.com/mnews/article/020/0003628792
"코리아 디지털 자산 포럼 출범 ""건전한 산업 생태계 조성""","디지털(가상) 자산의 미래를 그리기 위한 ‘코리아 디지털 자산 포럼’이 16일 서울대 환경대학원에서 출범식을 갖고, 공식적인 활동에 돌입했다. 코리아 디지털 자산 포럼은 이날 ‘함께 만드는 지속가능한 디지털 자산의 ",https://n.news.naver.com/mnews/article/018/0005989492
"크라우드웍스, 에이전틱 AI 솔루션 '알피' 일본에 선보인다",인공지능(AI) 테크 기업 크라우드웍스(355390)는 일본 최대 규모 정보통신 박람회 ‘재팬 IT 위크’에 참가한다고 16일 밝혔다. 일본에서 파트너 생태계를 구축해 현지 시장 공략에 박차를 가할 예정이다. 크라우,https://n.news.naver.com/mnews/article/018/0005989491
조현범의 '결단'…현대차·포드 등 핵심고객사 위주 개편,한온시스템(018880)은 자동차 열 관리 시스템 기술력에서 세계 1위 업체인 일본의 덴소와 어깨를 나란히 하는 기업이다. 정부도 산업기술보호법에 근거해 한온시스템의 열 관리 기술을 ‘국가핵심기술’로 지정해 보호할 ,https://n.news.naver.com/mnews/article/011/0004474897
"""AI 시대, 바이오도 데이터 확보전…美中 추격 서둘러야""",“인공지능(AI) 시대에 접어들면서 바이오 분야 경쟁도 결국 데이터 확보전이 됐습니다.” 이승구(사진) 국가바이오파운드리사업단장 겸 한국생명공학연구원 합성생물학연구소장은 16일 서울경제신문 인터뷰에서 “양질의 바이오,https://n.news.naver.com/mnews/article/011/0004474896
"방심위, 대통령선거방송심의위 출범...위원장에 한균태 전 경희대 총장",방송통신심의위원회(방심위)는 16일 서울 목동 방송회관에서 제21대 대통령선거 선거방송심의위원회 위원 위촉식을 개최했다고 밝혔다. 이번 선거방송심의위원회 임기는 대통령선거 실시 사유가 확정된 후 10일인 지난 14일,https://n.news.naver.com/mnews/article/008/0005181590
